date,price,open,high,low
2023-03-10,36.9290,36.9315,36.9316,36.7450
2023-03-09,36.8950,36.7450,36.9322,36.7450
2023-03-08,36.9290,36.9315,36.9340,36.7450
2023-03-07,36.9200,36.7450,36.9340,36.7450
2023-03-06,36.9070,36.9315,36.9340,36.7270
2023-03-03,36.9290,36.9315,36.9316,36.7450
2023-03-02,36.8410,36.7450,36.9345,36.7450
2023-03-01,36.9290,36.9315,36.9340,36.7450
2023-02-28,36.9290,36.7450,36.9340,36.7450
2023-02-27,36.5686,36.9315,36.9340,36.7450
2023-02-24,36.5686,36.9315,36.9322,36.7450
2023-02-23,36.5686,36.7450,36.7514,36.7450
2023-02-22,36.5686,36.9315,36.9322,36.7450
2023-02-21,36.5686,36.7450,36.9316,36.7450
2023-02-20,36.8950,36.9315,36.9340,36.7450
2023-02-17,36.5600,36.7514,36.7514,36.7450
2023-02-16,36.9290,36.7450,36.9322,36.7450
2023-02-15,36.9250,36.9315,36.9316,36.7450
2023-02-14,36.5600,36.9315,36.9316,36.7450
2023-02-13,36.9150,36.7450,36.9365,36.7450
2023-02-10,36.5600,36.7514,36.9316,36.7450
2023-02-09,36.9300,36.7450,36.9322,36.7450
2023-02-08,36.5686,36.9315,36.9316,36.7450
2023-02-07,36.5686,36.9315,36.9322,36.7450
2023-02-06,36.5686,36.9315,36.9316,36.7450
2023-02-03,36.9340,36.7450,36.9342,36.7450
2023-02-02,36.5686,36.7450,36.9322,36.7450
2023-02-01,36.9325,36.9315,36.9334,36.7450
2023-01-31,36.9290,36.9315,36.9316,36.7450
2023-01-30,36.5600,36.7450,36.7450,36.7450
2023-01-27,36.9340,36.9315,36.9345,36.7450
2023-01-26,36.9000,36.7450,36.9345,36.7450
2023-01-25,36.5686,36.9171,36.9171,36.7450
2023-01-24,36.9000,36.9315,36.9316,36.7450
2023-01-23,36.9250,36.9170,36.9316,36.7450
2023-01-20,36.9000,36.9315,36.9316,36.7450
2023-01-19,36.9000,36.7450,36.9316,36.7450
2023-01-18,36.5686,36.7450,36.7514,36.7450
2023-01-17,36.5686,36.7450,36.7514,36.7450
2023-01-16,36.5600,36.7450,36.7522,36.7450
2023-01-13,36.5600,36.7514,36.7514,36.7450
2023-01-12,36.5686,36.7450,36.7514,36.7450
2023-01-11,36.5686,36.7450,36.7514,36.7450
2023-01-10,36.5686,36.7450,36.7514,36.7450
2023-01-09,36.5686,36.7522,36.9347,36.7450
2023-01-06,36.5600,36.7522,36.7522,36.7450
2023-01-05,36.5686,36.7450,36.7514,36.7450
2023-01-04,36.5686,36.7450,36.7522,36.7450
2023-01-03,36.5686,36.7450,36.9171,36.7450
2023-01-02,36.9000,36.9170,36.9171,36.7450
